"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Document Type","Publication Stage","Open Access","Source","EID"
"Sahu P.; Dey R.","Sahu, Pankaj (57219972418); Dey, Rajiv (57192542474)","57219972418; 57192542474","A simulation analysis of maximum power point tracking techniques for battery-operated PV systems","2022","Power Electronics for Green Energy Conversion","","","","335","380","45","0","10.1002/9781119786511.ch10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147902071&doi=10.1002%2f9781119786511.ch10&partnerID=40&md5=d5eb39d6c5986b3a24e48cb91c80ec7c","Dept. of ECE, BML, Munjal University, Gurugram, India","Sahu P., Dept. of ECE, BML, Munjal University, Gurugram, India; Dey R., Dept. of ECE, BML, Munjal University, Gurugram, India","Book chapter","Final","","Scopus","2-s2.0-85147902071"
"Neema S.; Abhijith A.R.; Panwar O.S.; Srivastava A.; Rana A.","Neema, S. (57410294900); Abhijith, A.R. (57217130878); Panwar, O.S. (7004459093); Srivastava, A. (57203137959); Rana, A. (36182549900)","57410294900; 57217130878; 7004459093; 57203137959; 36182549900","Tunable thermochromism in V2O5films deposited by cathodic vacuum arc method by tailoring the oxygen deficiency","2022","Journal of Physics: Conference Series","2267","1","012009","","","","0","10.1088/1742-6596/2267/1/012009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131829054&doi=10.1088%2f1742-6596%2f2267%2f1%2f012009&partnerID=40&md5=0e69719e4def4ce700df780d65473969","Centre for Advanced Materials and Devices, School of Engineering and Technology, BML Munjal University, Sidhrawali, Haryana, Gurugram, 122413, India; Department of Physics, School of Chemical Engineering and Physical Sciences, Lovely Professional University, Punjab, Phagwara, 144411, India","Neema S., Centre for Advanced Materials and Devices, School of Engineering and Technology, BML Munjal University, Sidhrawali, Haryana, Gurugram, 122413, India; Abhijith A.R., Department of Physics, School of Chemical Engineering and Physical Sciences, Lovely Professional University, Punjab, Phagwara, 144411, India; Panwar O.S., Centre for Advanced Materials and Devices, School of Engineering and Technology, BML Munjal University, Sidhrawali, Haryana, Gurugram, 122413, India; Srivastava A., Department of Physics, School of Chemical Engineering and Physical Sciences, Lovely Professional University, Punjab, Phagwara, 144411, India; Rana A., Centre for Advanced Materials and Devices, School of Engineering and Technology, BML Munjal University, Sidhrawali, Haryana, Gurugram, 122413, India","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85131829054"
"Mishra A.; Shaikh S.H.; Sanyal R.","Mishra, Atul (57214672356); Shaikh, Soharab Hossain (36761579500); Sanyal, Ratna (24475170800)","57214672356; 36761579500; 24475170800","Context similarity based hybrid approach for extracting hindi multiword expressions","2022","Journal of Intelligent and Fuzzy Systems","43","5","","5595","5605","10","0","10.3233/JIFS-212595","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140800362&doi=10.3233%2fJIFS-212595&partnerID=40&md5=f45d7fd0df76044d79da848ac8caddff","Bml Munjal University, Haryana, India; Niit University, Rajasthan, India","Mishra A., Bml Munjal University, Haryana, India; Shaikh S.H., Bml Munjal University, Haryana, India; Sanyal R., Niit University, Rajasthan, India","Article","Final","","Scopus","2-s2.0-85140800362"
"Khurana P.; Ganesan G.; Kumar G.; Sharma K.","Khurana, Parul (57222276297); Ganesan, Geetha (57224952805); Kumar, Gulshan (56398590900); Sharma, Kiran (57192438995)","57222276297; 57224952805; 56398590900; 57192438995","A Bibliometric Analysis to Unveil the Impact of Digital Object Identifiers (DOI) on Bibliometric Indicators","2023","Lecture Notes in Networks and Systems","421","","","859","869","10","1","10.1007/978-981-19-1142-2_67","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135002590&doi=10.1007%2f978-981-19-1142-2_67&partnerID=40&md5=8b2c9cb2c8559d30679bcdc10fd763a5","School of Computer Applications, Lovely Professional University, Punjab, Phagwara, 144411, India; Advanced Computing Research Society, Porur, Chennai, 600116, India; School of Computer Science and Engineering, Lovely Professional University, Punjab, Phagwara, 144411, India; School of Engineering and Technology, BML Munjal University, Haryana, Gurugram, 122413, India","Khurana P., School of Computer Applications, Lovely Professional University, Punjab, Phagwara, 144411, India; Ganesan G., Advanced Computing Research Society, Porur, Chennai, 600116, India; Kumar G., School of Computer Science and Engineering, Lovely Professional University, Punjab, Phagwara, 144411, India; Sharma K., School of Engineering and Technology, BML Munjal University, Haryana, Gurugram, 122413, India","Conference paper","Final","","Scopus","2-s2.0-85135002590"
"Pandey A.K.; Upreti H.; Uddin Z.","Pandey, Alok Kumar (35463604600); Upreti, Himanshu (57193790155); Uddin, Ziya (50862185600)","35463604600; 57193790155; 50862185600","Magnetic SWCNT-Ag/H2O nanofluid flow over cone with volumetric heat generation","2023","International Journal of Modern Physics B","","","2350253","","","","4","10.1142/S0217979223502533","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149230103&doi=10.1142%2fS0217979223502533&partnerID=40&md5=f33b2bc771f3261050d5de9eb026c7c5","Department of Mathematics, Graphic Era Deemed to be University, Uttarakhand, Dehradun, India; Department of Allied Sciences, Graphic Era Hill University, Uttarakhand, Haldwani, India; Department of Applied Sciences, SoET, BML Munjal University, Haryana, Gurgaon, India","Pandey A.K., Department of Mathematics, Graphic Era Deemed to be University, Uttarakhand, Dehradun, India; Upreti H., Department of Allied Sciences, Graphic Era Hill University, Uttarakhand, Haldwani, India; Uddin Z., Department of Applied Sciences, SoET, BML Munjal University, Haryana, Gurgaon, India","Article","Article in press","","Scopus","2-s2.0-85149230103"
"Husain A.; Nanda M.N.; Chowdary M.S.; Sajid M.","Husain, Akhlaq (56081150000); Nanda, Manikyala Navaneeth (57444186900); Chowdary, Movva Sitaram (57444380000); Sajid, Mohammad (56230453200)","56081150000; 57444186900; 57444380000; 56230453200","Fractals: An Eclectic Survey, Part II","2022","Fractal and Fractional","6","7","379","","","","11","10.3390/fractalfract6070379","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133725834&doi=10.3390%2ffractalfract6070379&partnerID=40&md5=6c8c674f6b2843e74a80ca8d28a6a52c","Department of Applied Sciences, BML Munjal University, Gurgaon, 122413, India; School of Engineering & Technology, BML Munjal University, Gurgaon, 122413, India; Department of Mechanical Engineering, College of Engineering, Qassim University, Buraydah, 51452, Saudi Arabia","Husain A., Department of Applied Sciences, BML Munjal University, Gurgaon, 122413, India; Nanda M.N., School of Engineering & Technology, BML Munjal University, Gurgaon, 122413, India; Chowdary M.S., School of Engineering & Technology, BML Munjal University, Gurgaon, 122413, India; Sajid M., Department of Mechanical Engineering, College of Engineering, Qassim University, Buraydah, 51452, Saudi Arabia","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85133725834"
"Gupta Y.; Saraswat A.; Raghuwanshi G.","Gupta, Yogesh (56040653600); Saraswat, Amit (54919744800); Raghuwanshi, Ghanshyam (56964433300)","56040653600; 54919744800; 56964433300","Image Transliteration from Vernacular Languages","2023","Lecture Notes in Electrical Engineering","863","","","227","234","7","0","10.1007/978-981-19-0588-9_23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140794100&doi=10.1007%2f978-981-19-0588-9_23&partnerID=40&md5=b8c0e1661559c84ed423a93f1547649c","Department of Computer Science, BML Munjal University, Gurugram, India; Department of Electrical Engineering, Manipal University Jaipur, Rajasthan, Jaipur, India; Department of Computer and Communication Engineering, Manipal University Jaipur, Rajasthan, Jaipur, India","Gupta Y., Department of Computer Science, BML Munjal University, Gurugram, India; Saraswat A., Department of Electrical Engineering, Manipal University Jaipur, Rajasthan, Jaipur, India; Raghuwanshi G., Department of Computer and Communication Engineering, Manipal University Jaipur, Rajasthan, Jaipur, India","Conference paper","Final","","Scopus","2-s2.0-85140794100"
"Chandra S.","Chandra, Sushil (57199285885)","57199285885","Formulating a multi-layered framework for automobile architecture","2022","Scientific Reports","12","1","1489","","","","1","10.1038/s41598-022-05156-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123866673&doi=10.1038%2fs41598-022-05156-4&partnerID=40&md5=b94a72e765a845f259f32382be14cd4c","BML Munjal University, G-29A, GF, South City-2, Gurgaon, 122018, India","Chandra S., BML Munjal University, G-29A, GF, South City-2, Gurgaon, 122018, India","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85123866673"
"Sharma V.P.; Prakash S.; Singh R.","Sharma, Vijay Prakash (57223690406); Prakash, Surya (57226556562); Singh, Ranbir (57309526600)","57223690406; 57226556562; 57309526600","What Prevents Sustainable Last-Mile Delivery in Industry 4.0? An Analysis and Decision Framework","2022","Sustainability (Switzerland)","14","24","16423","","","","2","10.3390/su142416423","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144883694&doi=10.3390%2fsu142416423&partnerID=40&md5=9a4b9bea85ad1beaf119ae9c3c114f80","Department of Mechanical Engineering, School of Engineering and Technology, BML Munjal University, Haryana, Gurgaon, 122413, India; Operations Management Department, School of Pharmaceutical Management, IIHMR University, Rajasthan, Jaipur, 302029, India","Sharma V.P., Department of Mechanical Engineering, School of Engineering and Technology, BML Munjal University, Haryana, Gurgaon, 122413, India; Prakash S., Operations Management Department, School of Pharmaceutical Management, IIHMR University, Rajasthan, Jaipur, 302029, India; Singh R., Department of Mechanical Engineering, School of Engineering and Technology, BML Munjal University, Haryana, Gurgaon, 122413, India","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85144883694"
"Yadav R.; Singh D.","Yadav, Rajesh (57223382285); Singh, Digvijay (57217456640)","57223382285; 57217456640","Security issues in blockchain-based businesses","2022","Cybersecurity Issues, Challenges, and Solutions in the Business World","","","","186","195","9","0","10.4018/978-1-6684-5827-3.ch012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162157980&doi=10.4018%2f978-1-6684-5827-3.ch012&partnerID=40&md5=7f0bc230d523f21d006f2d4119594535","GITAM University, India; BML Munjal University, India","Yadav R., GITAM University, India; Singh D., BML Munjal University, India","Book chapter","Final","","Scopus","2-s2.0-85162157980"
"Lebedev N.; Huang Y.; Rana A.; Jannis D.; Gauquelin N.; Verbeeck J.; Aarts J.","Lebedev, N. (57193764584); Huang, Y. (58606223500); Rana, A. (36182549900); Jannis, D. (57208215834); Gauquelin, N. (26428040300); Verbeeck, J. (9238150500); Aarts, J. (55867175100)","57193764584; 58606223500; 36182549900; 57208215834; 26428040300; 9238150500; 55867175100","Resistance minimum in LaAlO3/Eu1-xLaxTiO3/SrTiO3 heterostructures","2022","Physical Review Materials","6","7","075003","","","","0","10.1103/PhysRevMaterials.6.075003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135705525&doi=10.1103%2fPhysRevMaterials.6.075003&partnerID=40&md5=f874a7997c68efd9a4f50f384a722fc7","Huygens-Kamerlingh Onnes Laboratory, Leiden University, P.O. Box 9504, Leiden, 2300 RA, Netherlands; Van der Waals-Zeeman Institute, University of Amsterdam, Science Park 904, Amsterdam, 1098 XH, Netherlands; Center for Advanced Materials and Devices, BML Munjal University (Hero Group), Gurgaon, 122413, India; MESA+ Institute for Nanotechnology, University of Twente, P.O. Box 217, Enschede, 7500 AE, Netherlands; Electron Microscopy for Materials Science, University of Antwerp, Campus Groenenborger, Groenenborgerlaan 171, Antwerpen, 2020, Belgium","Lebedev N., Huygens-Kamerlingh Onnes Laboratory, Leiden University, P.O. Box 9504, Leiden, 2300 RA, Netherlands; Huang Y., Van der Waals-Zeeman Institute, University of Amsterdam, Science Park 904, Amsterdam, 1098 XH, Netherlands; Rana A., Center for Advanced Materials and Devices, BML Munjal University (Hero Group), Gurgaon, 122413, India, MESA+ Institute for Nanotechnology, University of Twente, P.O. Box 217, Enschede, 7500 AE, Netherlands; Jannis D., Electron Microscopy for Materials Science, University of Antwerp, Campus Groenenborger, Groenenborgerlaan 171, Antwerpen, 2020, Belgium; Gauquelin N., Electron Microscopy for Materials Science, University of Antwerp, Campus Groenenborger, Groenenborgerlaan 171, Antwerpen, 2020, Belgium; Verbeeck J., Electron Microscopy for Materials Science, University of Antwerp, Campus Groenenborger, Groenenborgerlaan 171, Antwerpen, 2020, Belgium; Aarts J., Huygens-Kamerlingh Onnes Laboratory, Leiden University, P.O. Box 9504, Leiden, 2300 RA, Netherlands","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85135705525"
"Husain A.; Nanda M.N.; Chowdary M.S.; Sajid M.","Husain, Akhlaq (56081150000); Nanda, Manikyala Navaneeth (57444186900); Chowdary, Movva Sitaram (57444380000); Sajid, Mohammad (56230453200)","56081150000; 57444186900; 57444380000; 56230453200","Fractals: An Eclectic Survey, Part-I","2022","Fractal and Fractional","6","2","89","","","","14","10.3390/fractalfract6020089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124180850&doi=10.3390%2ffractalfract6020089&partnerID=40&md5=a069b2d3835ad770e0af6097dbdbad46","Department of Applied Sciences, BML Munjal University, Gurgaon, 122413, India; School of Engineering & Technology, BML Munjal University, Gurgaon, 122413, India; Department of Mechanical Engineering, College of Engineering, Qassim University, Buraidah, 51452, Saudi Arabia","Husain A., Department of Applied Sciences, BML Munjal University, Gurgaon, 122413, India; Nanda M.N., School of Engineering & Technology, BML Munjal University, Gurgaon, 122413, India; Chowdary M.S., School of Engineering & Technology, BML Munjal University, Gurgaon, 122413, India; Sajid M., Department of Mechanical Engineering, College of Engineering, Qassim University, Buraidah, 51452, Saudi Arabia","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85124180850"
"Sahu S.; Sahu S.B.B.P.J.; Nayak S.; Mohapatra J.; Khuntia S.K.; Malla C.; Samal P.; Patra S.K.; Swain S.","Sahu, Sibakanta (58333509300); Sahu, Saipad B B P J (57638573200); Nayak, Subhakanta (57200370550); Mohapatra, Jagannath (57216201004); Khuntia, Sujit Kumar (57207858800); Malla, Chandrabhanu (57204048787); Samal, Priyaranjan (57204362766); Patra, Saroj Kumar (54396107000); Swain, Suchismita (57193698759)","58333509300; 57638573200; 57200370550; 57216201004; 57207858800; 57204048787; 57204362766; 54396107000; 57193698759","Characterization of natural fiber extracted from Bauhinia vahlii bast subjected to different surface treatments: A potential reinforcement in polymer composite","2023","Journal of Natural Fibers","20","1","2162185","","","","2","10.1080/15440478.2022.2162185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145431954&doi=10.1080%2f15440478.2022.2162185&partnerID=40&md5=669718d1a4ed4289e31182bb65702527","Department of Mechanical Engineering, Gandhi Institute of Technological Advancement (GITA) Autonomous College, Bhubaneswar, India; Department of Mechanical Engineering, College of Engineering Bhubaneswar, Biju Patnaik University of Technology, Bhubaneswar, India; Department of Mechanical Engineering, Radhakrishna Institute of Technology and Engineering, Odisha, Bhubaneswar, India; Department of Mechanical Engineering, Koneru Lakshmaiah Education Foundation, Andra Pradesh, India; School of Engineering and Technology, BML Munjal University, Gurugram, India; Department of Operations and IT, ICFAI Business School, Hyderabad, India","Sahu S., Department of Mechanical Engineering, Gandhi Institute of Technological Advancement (GITA) Autonomous College, Bhubaneswar, India; Sahu S.B.B.P.J., Department of Mechanical Engineering, Gandhi Institute of Technological Advancement (GITA) Autonomous College, Bhubaneswar, India; Nayak S., Department of Mechanical Engineering, College of Engineering Bhubaneswar, Biju Patnaik University of Technology, Bhubaneswar, India; Mohapatra J., Department of Mechanical Engineering, College of Engineering Bhubaneswar, Biju Patnaik University of Technology, Bhubaneswar, India; Khuntia S.K., Department of Mechanical Engineering, College of Engineering Bhubaneswar, Biju Patnaik University of Technology, Bhubaneswar, India; Malla C., Department of Mechanical Engineering, Radhakrishna Institute of Technology and Engineering, Odisha, Bhubaneswar, India; Samal P., Department of Mechanical Engineering, Koneru Lakshmaiah Education Foundation, Andra Pradesh, India; Patra S.K., School of Engineering and Technology, BML Munjal University, Gurugram, India; Swain S., Department of Operations and IT, ICFAI Business School, Hyderabad, India","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85145431954"
"Baloria V.; Yadav A.; Singh P.; Gupta G.","Baloria, Vishal (57567250400); Yadav, Aditya (57209138110); Singh, Preetam (56565913000); Gupta, Govind (57209792251)","57567250400; 57209138110; 56565913000; 57209792251","Semiconductor oxide based chemiresistive gas sensors","2023","Carbon Nanomaterials and their Nanocomposite-Based Chemiresistive Gas Sensors: Applications, Fabrication and Commercialization","","","","133","167","34","1","10.1016/B978-0-12-822837-1.00004-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158936835&doi=10.1016%2fB978-0-12-822837-1.00004-6&partnerID=40&md5=94bc32a3b09b95baa60211a26c322f71","Sensor Device and Metrology, CSIR-National Physical Laboratory (NPL), New Delhi, India; Centre for Advanced Materials and Devices, BML Munjal University, Haryana, Gurugram, India; Academy of Scientific and Innovative Research, CSIR-HRDC Campus, Uttar Pradesh, Ghaziabad, India","Baloria V., Sensor Device and Metrology, CSIR-National Physical Laboratory (NPL), New Delhi, India, Centre for Advanced Materials and Devices, BML Munjal University, Haryana, Gurugram, India; Yadav A., Sensor Device and Metrology, CSIR-National Physical Laboratory (NPL), New Delhi, India, Academy of Scientific and Innovative Research, CSIR-HRDC Campus, Uttar Pradesh, Ghaziabad, India; Singh P., Sensor Device and Metrology, CSIR-National Physical Laboratory (NPL), New Delhi, India, Academy of Scientific and Innovative Research, CSIR-HRDC Campus, Uttar Pradesh, Ghaziabad, India; Gupta G., Sensor Device and Metrology, CSIR-National Physical Laboratory (NPL), New Delhi, India, Academy of Scientific and Innovative Research, CSIR-HRDC Campus, Uttar Pradesh, Ghaziabad, India","Book chapter","Final","","Scopus","2-s2.0-85158936835"
"Ju Y.; Tu Y.; Zheng T.-X.; Liu L.; Pei Q.; Bhardwaj A.; Yu K.","Ju, Ying (57171472100); Tu, Yulong (57963371100); Zheng, Tong-Xing (55771505100); Liu, Lei (56612510500); Pei, Qingqi (15763462800); Bhardwaj, Arpit (49361153100); Yu, Keping (56316023300)","57171472100; 57963371100; 55771505100; 56612510500; 15763462800; 49361153100; 56316023300","Joint design of beamforming and trajectory for integrated sensing and communication drone networks","2022","DroneCom 2022 - Proceedings of the 5th International ACM Mobicom Workshop on Drone Assisted Wireless Communications for 5G and Beyond","","","","55","60","5","0","10.1145/3555661.3560864","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141864114&doi=10.1145%2f3555661.3560864&partnerID=40&md5=b56cacbdf28c8988df9e4a8fa3e7c65a","Xidian University, Xi'an, China; Xidian University, Guangzhou, China; Xi'an Jiaotong University, Xi'an, China; Southeast University, Nanjing, China; Bml Munjal University, Gurugram, India; Hosei University, Tokyo, Japan","Ju Y., Xidian University, Xi'an, China; Tu Y., Xidian University, Guangzhou, China; Zheng T.-X., Xi'an Jiaotong University, Xi'an, China, Southeast University, Nanjing, China; Liu L., Xidian University, Guangzhou, China; Pei Q., Xidian University, Xi'an, China; Bhardwaj A., Bml Munjal University, Gurugram, India; Yu K., Hosei University, Tokyo, Japan","Conference paper","Final","","Scopus","2-s2.0-85141864114"
"Ajefu J.; Uchenna E.; Singh N.; Ali S.Z.","Ajefu, Joseph (57196469000); Uchenna, Efobi (56231281900); Singh, Nadia (57193067210); Ali, Shayequa Zeenat (57363466200)","57196469000; 56231281900; 57193067210; 57363466200","Women’s Inheritance Rights and Child Health Outcomes in Kenya","2023","Journal of Family and Economic Issues","","","","","","","0","10.1007/s10834-023-09895-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151477562&doi=10.1007%2fs10834-023-09895-y&partnerID=40&md5=6361accac8a11476f88484265f56ed95","Newcastle Business School, Northumbria University, Newcastle Upon Tyne, United Kingdom; Centre for Social Development in Africa (CSDA), University of Johannesburg, Johannesburg, South Africa; Centre for Study of the Economies of Africa, Abuja, Nigeria; School of Law, BML Munjal University, Haryana, Kapriwas, India","Ajefu J., Newcastle Business School, Northumbria University, Newcastle Upon Tyne, United Kingdom, Centre for Social Development in Africa (CSDA), University of Johannesburg, Johannesburg, South Africa; Uchenna E., Centre for Study of the Economies of Africa, Abuja, Nigeria; Singh N., Newcastle Business School, Northumbria University, Newcastle Upon Tyne, United Kingdom; Ali S.Z., School of Law, BML Munjal University, Haryana, Kapriwas, India","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85151477562"
"Chakraborty S.; Shaikh S.H.; Chakrabarti A.; Ghosh R.","Chakraborty, Sanjay (57169636900); Shaikh, Soharab Hossain (36761579500); Chakrabarti, Amlan (24342850300); Ghosh, Ranjan (55844406900)","57169636900; 36761579500; 24342850300; 55844406900","Quantum image edge extraction based on classical robinson operator","2022","Multimedia Tools and Applications","81","23","","33459","33481","22","2","10.1007/s11042-022-12627-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128322986&doi=10.1007%2fs11042-022-12627-3&partnerID=40&md5=ac1a29b01e0a54459ccf587d5384cf11","Computer Science and Engineering, JIS University, Kolkata, India; Computer Science and Engineering, BML Munjal University, Kapriwas, India; A.K.Choudhury School of IT, University of Calcutta, Kolkata, India","Chakraborty S., Computer Science and Engineering, JIS University, Kolkata, India; Shaikh S.H., Computer Science and Engineering, BML Munjal University, Kapriwas, India; Chakrabarti A., A.K.Choudhury School of IT, University of Calcutta, Kolkata, India; Ghosh R., A.K.Choudhury School of IT, University of Calcutta, Kolkata, India","Article","Final","","Scopus","2-s2.0-85128322986"
"Mallidi R.K.; Sharma M.; Mallidi S.P.","Mallidi, Ravi Kiran (57254989800); Sharma, Manmohan (57209467880); Mallidi, Sai Prabhas (58178696900)","57254989800; 57209467880; 58178696900","Health Care Monitoring Application using IoT Devices","2022","Proceedings - 2022 4th International Conference on Advances in Computing, Communication Control and Networking, ICAC3N 2022","","","","2413","2417","4","0","10.1109/ICAC3N56670.2022.10074172","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152197787&doi=10.1109%2fICAC3N56670.2022.10074172&partnerID=40&md5=afe6d1fd222247c308ac7761232846da","Lovely Professional University, School of Computer Applications, Punjab, India; Bml Munjal University, School of Engineering, Haryana, India","Mallidi R.K., Lovely Professional University, School of Computer Applications, Punjab, India; Sharma M., Lovely Professional University, School of Computer Applications, Punjab, India; Mallidi S.P., Bml Munjal University, School of Engineering, Haryana, India","Conference paper","Final","","Scopus","2-s2.0-85152197787"
"Chakraborty S.; Mandal S.B.; Shaikh S.H.","Chakraborty, Sanjay (57169636900); Mandal, Sudhindu Bikash (37020750100); Shaikh, Soharab Hossain (36761579500)","57169636900; 37020750100; 36761579500","Quantum image processing: challenges and future research issues","2022","International Journal of Information Technology (Singapore)","14","1","","475","489","14","13","10.1007/s41870-018-0227-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095430264&doi=10.1007%2fs41870-018-0227-8&partnerID=40&md5=95846eaf26b8802403da3a0507c44be8","A.K. Choudhury School of Information Technology, University of Calcutta, Kolkata, India; Computer Science and Engineering, BML Munjal University, Gurugram, India","Chakraborty S., A.K. Choudhury School of Information Technology, University of Calcutta, Kolkata, India; Mandal S.B., A.K. Choudhury School of Information Technology, University of Calcutta, Kolkata, India; Shaikh S.H., Computer Science and Engineering, BML Munjal University, Gurugram, India","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85095430264"
"Nayak S.; Samal P.; Malla C.; Pradhan M.K.; Khuntia S.K.; Mohapatra J.; Jena P.K.; Patra S.K.; Nayak B.B.; Swain S.","Nayak, Subhakanta (57200370550); Samal, Priyaranjan (57204362766); Malla, Chandrabhanu (57204048787); Pradhan, Manoj Kumar (57201916717); Khuntia, Sujit Kumar (57207858800); Mohapatra, Jagannath (57216201004); Jena, Pradeep Kumar (57195068706); Patra, Saroj Kumar (54396107000); Nayak, Bijaya Bijeta (56352342500); Swain, Suchismita (57193698759)","57200370550; 57204362766; 57204048787; 57201916717; 57207858800; 57216201004; 57195068706; 54396107000; 56352342500; 57193698759","Enhancement of Mechanical, Thermal and Morphological Properties of Eleusine Indica Grass Fiber Reinforced Epoxy Composites","2023","Journal of Natural Fibers","20","1","2163029","","","","0","10.1080/15440478.2022.2163029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146759512&doi=10.1080%2f15440478.2022.2163029&partnerID=40&md5=724e745a82607171776d8be30c950e3a","Department of Mechanical Engineering, College of Engineering Bhubaneswar, Biju Patnaik University of Technology, Bhubaneswar, India; Department of Mechanical Engineering, Koneru Lakshmaiah Education Foundation, Vaddeswaram, India; Department of Mechanical Engineering, Radhakrishna Institute of Technology and Engineering, Bhubaneswar, India; Department of Mechanical Engineering, GITA Autonomous College, Bhubaneswar, India; School of Engineering and Technology, BML Munjal University, Gurugram, India; School of Mechanical Engineering, KIIT Deemed to be University, Bhubaneswar, India; Department of Operations and IT, ICFAI Business School, Hyderabad, India","Nayak S., Department of Mechanical Engineering, College of Engineering Bhubaneswar, Biju Patnaik University of Technology, Bhubaneswar, India; Samal P., Department of Mechanical Engineering, Koneru Lakshmaiah Education Foundation, Vaddeswaram, India; Malla C., Department of Mechanical Engineering, Radhakrishna Institute of Technology and Engineering, Bhubaneswar, India; Pradhan M.K., Department of Mechanical Engineering, GITA Autonomous College, Bhubaneswar, India; Khuntia S.K., Department of Mechanical Engineering, College of Engineering Bhubaneswar, Biju Patnaik University of Technology, Bhubaneswar, India; Mohapatra J., Department of Mechanical Engineering, College of Engineering Bhubaneswar, Biju Patnaik University of Technology, Bhubaneswar, India; Jena P.K., Department of Mechanical Engineering, GITA Autonomous College, Bhubaneswar, India; Patra S.K., School of Engineering and Technology, BML Munjal University, Gurugram, India; Nayak B.B., School of Mechanical Engineering, KIIT Deemed to be University, Bhubaneswar, India; Swain S., Department of Operations and IT, ICFAI Business School, Hyderabad, India","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85146759512"
"Upreti H.; Pandey A.K.; Uddin Z.; Kumar M.","Upreti, Himanshu (57193790155); Pandey, Alok Kumar (35463604600); Uddin, Ziya (50862185600); Kumar, Manoj (57908382100)","57193790155; 35463604600; 50862185600; 57908382100","Thermophoresis and Brownian motion effects on 3D flow of Casson nanofluid consisting microorganisms over a Riga plate using PSO: A numerical study","2022","Chinese Journal of Physics","78","","","234","270","36","39","10.1016/j.cjph.2022.06.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133943709&doi=10.1016%2fj.cjph.2022.06.019&partnerID=40&md5=6b5c2aa2ecaa2dcd7d258883765a53e7","Department of Allied Sciences, Graphic Era Hill University, Uttarakhand, Haldwani, India; Department of Mathematics, Graphic Era Deemed to be University, Uttarakhand, Dehradun, India; Department of Applied Sciences, SoET, BML Munjal University, Haryana, Gurgaon, India; Department of Mathematics, Statistics and Computer Science, G. B. Pant University of Agriculture and Technology, Uttarakhand, Pantnagar, India","Upreti H., Department of Allied Sciences, Graphic Era Hill University, Uttarakhand, Haldwani, India; Pandey A.K., Department of Mathematics, Graphic Era Deemed to be University, Uttarakhand, Dehradun, India; Uddin Z., Department of Applied Sciences, SoET, BML Munjal University, Haryana, Gurgaon, India; Kumar M., Department of Mathematics, Statistics and Computer Science, G. B. Pant University of Agriculture and Technology, Uttarakhand, Pantnagar, India","Article","Final","","Scopus","2-s2.0-85133943709"
